price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
7455000,4300,3,2,2,yes,no,yes,no,no,yes,no,unfurnished
7420000,7440,3,2,1,yes,yes,yes,no,yes,no,yes,semi-furnished
7420000,7440,3,2,4,yes,no,no,no,no,yes,yes,unfurnished
7420000,6325,3,1,4,yes,no,no,no,yes,yes,no,unfurnished
7350000,6000,4,2,4,yes,yes,no,no,yes,yes,no,furnished
7350000,5150,3,2,4,yes,no,no,no,yes,yes,no,semi-furnished
7350000,6000,3,2,2,yes,yes,no,no,yes,yes,no,semi-furnished
7350000,6000,3,1,2,yes,no,no,no,yes,yes,no,unfurnished
7343000,11440,4,1,2,yes,no,yes,no,no,yes,yes,semi-furnished
7245000,9000,4,2,4,yes,yes,no,no,yes,yes,yes,furnished
7210000,7680,4,2,4,yes,yes,no,no,yes,yes,no,semi-furnished
7210000,6000,3,2,4,yes,yes,no,no,yes,yes,no,furnished
7140000,6000,3,2,2,yes,yes,no,no,no,yes,no,semi-furnished
7070000,8880,2,1,1,yes,no,no,no,yes,yes,no,semi-furnished
7070000,6240,4,2,2,yes,no,no,no,yes,yes,no,furnished
7035000,6360,4,2,3,yes,no,no,no,yes,yes,yes,furnished
7000000,11175,3,1,1,yes,no,yes,no,yes,yes,yes,furnished
6930000,8880,3,2,2,yes,no,yes,no,yes,yes,no,furnished
6930000,13200,2,1,1,yes,no,yes,yes,no,yes,no,furnished
6895000,7700,3,2,1,yes,no,no,no,no,yes,no,unfurnished
6860000,6000,3,1,1,yes,no,no,no,yes,yes,no,furnished
6790000,12090,4,2,2,yes,no,no,no,no,yes,yes,furnished
6790000,4000,3,2,2,yes,no,yes,no,yes,no,yes,semi-furnished
6755000,6000,4,2,4,yes,no,no,no,yes,no,no,unfurnished
6720000,5020,3,1,4,yes,no,no,no,yes,no,yes,unfurnished
6685000,6600,2,2,4,yes,no,yes,no,no,no,yes,furnished
6650000,4040,3,1,2,yes,no,yes,yes,no,yes,no,furnished
6650000,4260,4,2,2,yes,no,no,yes,no,no,no,semi-furnished
6650000,6420,3,2,3,yes,no,no,no,yes,no,yes,furnished
6650000,6500,3,2,3,yes,no,no,no,yes,no,yes,furnished
6650000,5700,3,1,1,yes,yes,yes,no,yes,yes,yes,furnished
6650000,6000,3,2,3,yes,yes,no,no,yes,no,no,furnished
6629000,6000,3,1,2,yes,no,no,yes,no,yes,yes,semi-furnished
6615000,4000,3,2,2,yes,no,yes,no,yes,yes,no,semi-furnished
6615000,10500,3,2,1,yes,no,yes,no,yes,yes,yes,furnished
6580000,6000,3,2,4,yes,no,no,no,yes,no,no,semi-furnished
6510000,3760,3,1,2,yes,no,no,yes,no,yes,no,semi-furnished
6510000,8250,3,2,3,yes,no,no,no,yes,no,no,furnished
6510000,6670,3,1,3,yes,no,yes,no,no,no,yes,unfurnished
6475000,3960,3,1,1,yes,no,yes,no,no,yes,no,semi-furnished
6475000,7410,3,1,1,yes,yes,yes,no,yes,yes,yes,unfurnished
6440000,8580,4,3,2,yes,no,no,no,no,yes,no,furnished
6440000,5000,3,1,2,yes,no,no,no,yes,no,no,semi-furnished
6419000,6750,2,1,1,yes,yes,yes,no,no,yes,yes,furnished
6405000,4800,3,2,4,yes,yes,no,no,yes,no,no,furnished
6300000,7200,3,2,1,yes,no,yes,no,yes,yes,no,semi-furnished
6300000,6000,4,2,4,yes,no,no,no,no,yes,no,semi-furnished
6300000,4100,3,2,3,yes,no,no,no,yes,yes,no,semi-furnished
6300000,9000,3,1,1,yes,no,yes,no,no,yes,yes,furnished
6300000,6400,3,1,1,yes,yes,yes,no,yes,yes,yes,semi-furnished
6293000,6600,3,2,3,yes,no,no,no,yes,no,yes,unfurnished
6265000,6000,4,1,3,yes,yes,yes,no,no,no,yes,unfurnished
6230000,6600,3,2,1,yes,no,yes,no,yes,no,yes,unfurnished
6230000,5500,3,1,3,yes,no,no,no,no,yes,yes,unfurnished
6195000,5500,3,2,4,yes,yes,no,no,yes,yes,no,semi-furnished
6195000,6350,3,2,3,yes,yes,no,no,yes,no,no,furnished
6195000,5500,3,2,1,yes,yes,yes,no,no,yes,yes,furnished
6160000,4500,3,1,4,yes,no,no,no,yes,no,no,unfurnished
6160000,5450,4,2,1,yes,no,yes,no,yes,no,yes,semi-furnished
6125000,6420,3,1,3,yes,no,yes,no,no,no,yes,unfurnished
6107500,3240,4,1,3,yes,no,no,no,no,yes,no,semi-furnished
6090000,6615,4,2,2,yes,yes,no,yes,no,yes,no,semi-furnished
6090000,6600,3,1,1,yes,yes,yes,no,no,yes,yes,semi-furnished
6090000,8372,3,1,3,yes,no,no,no,yes,yes,no,unfurnished
6083000,4300,4,2,2,yes,no,no,no,no,no,no,furnished
6083000,9620,3,1,1,yes,no,yes,no,no,yes,yes,furnished
6020000,6800,2,1,1,yes,yes,yes,no,no,yes,no,furnished
6020000,8000,3,1,1,yes,yes,yes,no,yes,yes,yes,semi-furnished
6020000,6900,3,2,1,yes,yes,yes,no,no,no,yes,unfurnished
5950000,3700,4,1,2,yes,yes,no,no,yes,no,no,furnished
5950000,6420,3,1,1,yes,no,yes,no,yes,no,yes,furnished
5950000,7020,3,1,1,yes,no,yes,no,yes,yes,yes,semi-furnished
5950000,6540,3,1,1,yes,yes,yes,no,no,yes,yes,furnished
5950000,7231,3,1,2,yes,yes,yes,no,yes,no,yes,semi-furnished
5950000,6254,4,2,1,yes,no,yes,no,no,yes,yes,semi-furnished
5950000,7320,4,2,2,yes,no,no,no,no,no,no,furnished
5950000,6525,3,2,4,yes,no,no,no,no,yes,no,furnished
5943000,15600,3,1,1,yes,no,no,no,yes,yes,no,semi-furnished
5880000,7160,3,1,1,yes,no,yes,no,no,yes,yes,unfurnished
5880000,6500,3,2,3,yes,no,no,no,yes,no,no,unfurnished
5873000,5500,3,1,3,yes,yes,no,no,yes,yes,no,furnished
5873000,11460,3,1,3,yes,no,no,no,no,yes,yes,semi-furnished
5866000,4800,3,1,1,yes,yes,yes,no,no,no,no,unfurnished
5810000,5828,4,1,4,yes,yes,no,no,no,no,no,semi-furnished
5810000,5200,3,1,3,yes,no,no,no,yes,no,no,semi-furnished
5810000,4800,3,1,3,yes,no,no,no,yes,no,no,unfurnished
5803000,7000,3,1,1,yes,no,yes,no,no,yes,yes,semi-furnished
5775000,6000,3,2,4,yes,no,no,no,yes,no,no,unfurnished
5740000,5400,4,2,2,yes,no,no,no,yes,yes,no,unfurnished
5740000,4640,4,1,2,yes,no,no,no,no,yes,no,semi-furnished
5740000,5000,3,1,3,yes,no,no,no,yes,no,no,semi-furnished
5740000,6360,3,1,1,yes,yes,yes,no,yes,yes,yes,furnished
5740000,5800,3,2,4,yes,no,no,no,yes,no,no,unfurnished
5652500,6660,4,2,2,yes,yes,yes,no,no,yes,yes,semi-furnished
5600000,10500,4,2,2,yes,no,no,no,no,yes,no,semi-furnished
5600000,4800,4,2,3,no,no,yes,yes,no,no,no,unfurnished
5600000,4700,4,1,2,yes,yes,yes,no,yes,yes,no,furnished
5600000,5000,3,1,4,yes,no,no,no,no,no,no,furnished
5600000,10500,2,1,1,yes,no,no,no,no,yes,no,semi-furnished
5600000,5500,3,2,2,yes,no,no,no,no,yes,no,semi-furnished
5600000,6360,3,1,3,yes,no,no,no,no,no,yes,semi-furnished
5600000,6600,4,2,1,yes,no,yes,no,no,no,yes,semi-furnished
5600000,5136,3,1,2,yes,yes,yes,no,yes,no,yes,unfurnished
5565000,4400,4,1,2,yes,no,no,no,yes,yes,yes,semi-furnished
5565000,5400,4,1,2,yes,yes,yes,no,yes,no,yes,furnished
5530000,3300,3,3,2,yes,no,yes,no,no,no,no,semi-furnished
5530000,3650,3,2,2,yes,no,no,no,no,yes,no,semi-furnished
5530000,6100,3,2,1,yes,no,yes,no,no,yes,yes,furnished
5523000,6900,3,1,1,yes,yes,yes,no,no,no,yes,semi-furnished
5495000,2817,4,2,2,no,yes,yes,no,no,yes,no,furnished
5495000,7980,3,1,1,yes,no,no,no,no,yes,no,semi-furnished
5460000,3150,3,2,1,yes,yes,yes,no,yes,no,no,furnished
5460000,6210,4,1,4,yes,yes,no,no,yes,no,no,furnished
5460000,6100,3,1,3,yes,yes,no,no,yes,no,yes,semi-furnished
5460000,6600,4,2,2,yes,yes,yes,no,no,no,yes,semi-furnished
5425000,6825,3,1,1,yes,yes,yes,no,yes,no,yes,semi-furnished
5390000,6710,3,2,2,yes,yes,yes,no,no,yes,yes,furnished
5383000,6450,3,2,1,yes,yes,yes,yes,no,no,no,unfurnished
5320000,7800,3,1,1,yes,no,yes,no,yes,yes,yes,unfurnished
5285000,4600,2,2,1,yes,no,no,no,yes,yes,no,semi-furnished
5250000,4260,4,1,2,yes,no,yes,no,yes,no,no,furnished
5250000,6540,4,2,2,no,no,no,no,yes,no,no,semi-furnished
5250000,5500,3,2,1,yes,no,yes,no,no,no,no,semi-furnished
5250000,10269,3,1,1,yes,no,no,no,no,yes,yes,semi-furnished
5250000,8400,3,1,2,yes,yes,yes,no,yes,yes,yes,unfurnished
5250000,5300,4,2,1,yes,no,no,no,yes,no,yes,unfurnished
5250000,3800,3,1,2,yes,yes,yes,no,no,yes,yes,unfurnished
5250000,9800,4,2,2,yes,yes,no,no,no,yes,no,semi-furnished
5250000,8520,3,1,1,yes,no,no,no,yes,yes,no,furnished
5243000,6050,3,1,1,yes,no,yes,no,no,no,yes,semi-furnished
5229000,7085,3,1,1,yes,yes,yes,no,no,yes,yes,semi-furnished
5215000,3180,3,2,2,yes,no,no,no,no,yes,no,semi-furnished
5215000,4500,4,2,1,no,no,yes,no,yes,yes,no,semi-furnished
5215000,7200,3,1,2,yes,yes,yes,no,no,yes,yes,furnished
5145000,3410,3,1,2,no,no,no,no,yes,no,no,semi-furnished
5145000,7980,3,1,1,yes,no,no,no,no,yes,yes,semi-furnished
5110000,3000,3,2,2,yes,yes,yes,no,no,no,no,furnished
5110000,3000,3,1,2,yes,no,yes,no,no,no,no,unfurnished
5110000,11410,2,1,2,yes,no,no,no,no,no,yes,furnished
5110000,6100,3,1,1,yes,no,yes,no,yes,no,yes,semi-furnished
5075000,5720,2,1,2,yes,no,no,no,yes,no,yes,unfurnished
5040000,3540,2,1,1,no,yes,yes,no,no,no,no,semi-furnished
5040000,7600,4,1,2,yes,no,no,no,yes,yes,no,furnished
5040000,10700,3,1,2,yes,yes,yes,no,no,no,no,semi-furnished
5040000,6600,3,1,1,yes,yes,yes,no,no,no,yes,furnished
5033000,4800,2,1,1,yes,yes,yes,no,no,no,no,semi-furnished
5005000,8150,3,2,1,yes,yes,yes,no,no,no,no,semi-furnished
4970000,4410,4,3,2,yes,no,yes,no,no,yes,no,semi-furnished
4970000,7686,3,1,1,yes,yes,yes,yes,no,no,no,semi-furnished
4956000,2800,3,2,2,no,no,yes,no,yes,yes,no,semi-furnished
4935000,5948,3,1,2,yes,no,no,no,yes,no,no,semi-furnished
4907000,4200,3,1,2,yes,no,no,no,no,yes,no,furnished
4900000,4520,3,1,2,yes,no,yes,no,yes,no,no,semi-furnished
4900000,4095,3,1,2,no,yes,yes,no,yes,no,no,semi-furnished
4900000,4120,2,1,1,yes,no,yes,no,no,yes,no,semi-furnished
4900000,5400,4,1,2,yes,no,no,no,no,no,no,semi-furnished
4900000,4770,3,1,1,yes,yes,yes,no,no,no,no,semi-furnished
4900000,6300,3,1,1,yes,no,no,no,yes,yes,no,semi-furnished
4900000,5800,2,1,1,yes,yes,yes,no,yes,no,no,semi-furnished
4900000,3000,3,1,2,yes,no,yes,no,yes,no,no,semi-furnished
4900000,2970,3,1,3,yes,no,no,no,no,no,no,semi-furnished
4900000,6720,3,1,1,yes,no,no,no,no,no,no,unfurnished
4900000,4646,3,1,2,yes,yes,yes,no,no,yes,no,semi-furnished
4900000,12900,3,1,1,yes,no,no,no,no,yes,no,furnished
4893000,3420,4,2,2,yes,no,yes,no,yes,yes,no,semi-furnished
4893000,4995,4,2,1,yes,no,yes,no,no,no,no,semi-furnished
4865000,4350,2,1,1,yes,no,yes,no,no,no,no,unfurnished
4830000,4160,3,1,3,yes,no,no,no,no,no,no,unfurnished
4830000,6040,3,1,1,yes,no,no,no,no,yes,yes,semi-furnished
4830000,6862,3,1,2,yes,no,no,no,yes,yes,yes,furnished
4830000,4815,2,1,1,yes,no,no,no,yes,no,yes,semi-furnished
4795000,7000,3,1,2,yes,no,yes,no,no,no,no,unfurnished
4795000,8100,4,1,4,yes,no,yes,no,yes,yes,no,semi-furnished
4767000,3420,4,2,2,yes,no,no,no,no,no,no,semi-furnished
4760000,9166,2,1,1,yes,no,yes,no,yes,yes,no,semi-furnished
4760000,6321,3,1,2,yes,no,yes,no,yes,yes,no,furnished
4760000,10240,2,1,1,yes,no,no,no,yes,yes,yes,unfurnished
4753000,6440,2,1,1,yes,no,no,no,yes,yes,no,semi-furnished
4690000,5170,3,1,4,yes,no,no,no,yes,no,no,semi-furnished
4690000,6000,2,1,1,yes,no,yes,no,yes,yes,no,furnished
4690000,3630,3,1,2,yes,no,no,no,no,yes,no,semi-furnished
4690000,9667,4,2,2,yes,yes,yes,no,no,yes,no,semi-furnished
4690000,5400,2,1,2,yes,no,no,no,no,no,yes,semi-furnished
4690000,4320,3,1,1,yes,no,no,no,no,no,yes,semi-furnished
4655000,3745,3,1,2,yes,no,yes,no,no,no,no,furnished
4620000,4160,3,1,1,yes,yes,yes,no,yes,no,no,unfurnished
4620000,3880,3,2,2,yes,no,yes,no,no,yes,no,semi-furnished
4620000,5680,3,1,2,yes,yes,no,no,yes,yes,no,semi-furnished
4620000,2870,2,1,2,yes,yes,yes,no,no,no,yes,semi-furnished
4620000,5010,3,1,2,yes,no,yes,no,no,no,no,semi-furnished
4613000,4510,4,2,2,yes,no,yes,no,no,no,no,semi-furnished
4585000,4000,3,1,2,yes,no,no,no,no,yes,no,furnished
4585000,3840,3,1,2,yes,no,no,no,no,yes,yes,semi-furnished
4550000,3760,3,1,1,yes,no,no,no,no,yes,no,semi-furnished
4550000,3640,3,1,2,yes,no,no,no,yes,no,no,furnished
4550000,2550,3,1,2,yes,no,yes,no,no,no,no,furnished
4550000,5320,3,1,2,yes,yes,yes,no,no,no,yes,semi-furnished
4550000,5360,3,1,2,yes,no,no,no,no,yes,yes,unfurnished
4550000,3520,3,1,1,yes,no,no,no,no,no,yes,semi-furnished
4550000,8400,4,1,4,yes,no,no,no,no,yes,no,unfurnished
4543000,4100,2,2,1,yes,yes,yes,no,no,no,no,semi-furnished
4543000,4990,4,2,2,yes,yes,yes,no,no,no,yes,furnished
4515000,3510,3,1,3,yes,no,no,no,no,no,no,semi-furnished
4515000,3450,3,1,2,yes,no,yes,no,no,yes,no,semi-furnished
4515000,9860,3,1,1,yes,no,no,no,no,no,no,semi-furnished
4515000,3520,2,1,2,yes,no,no,no,no,no,yes,furnished
4480000,4510,4,1,2,yes,no,no,no,yes,yes,no,semi-furnished
4480000,5885,2,1,1,yes,no,no,no,yes,yes,no,unfurnished
4480000,4000,3,1,2,yes,no,no,no,no,yes,no,furnished
4480000,8250,3,1,1,yes,no,no,no,no,no,no,furnished
4480000,4040,3,1,2,yes,no,no,no,no,yes,no,semi-furnished
4473000,6360,2,1,1,yes,no,yes,no,yes,yes,no,furnished
4473000,3162,3,1,2,yes,no,no,no,yes,yes,no,furnished
4473000,3510,3,1,2,yes,no,no,no,no,no,no,semi-furnished
4445000,3750,2,1,1,yes,yes,yes,no,no,no,no,semi-furnished
4410000,3968,3,1,2,no,no,no,no,no,no,no,semi-furnished
4410000,4900,2,1,2,yes,no,yes,no,no,no,no,semi-furnished
4403000,2880,3,1,2,yes,no,no,no,no,no,yes,semi-furnished
4403000,4880,3,1,1,yes,no,no,no,no,yes,yes,unfurnished
4403000,4920,3,1,2,yes,no,no,no,no,yes,no,semi-furnished
4382000,4950,4,1,2,yes,no,no,no,yes,no,no,semi-furnished
4375000,3900,3,1,2,yes,no,no,no,no,no,no,unfurnished
4340000,4500,3,2,3,yes,no,no,yes,no,yes,no,furnished
4340000,1905,4,1,2,no,no,yes,no,no,no,no,semi-furnished
4340000,4075,3,1,1,yes,yes,yes,no,no,yes,no,semi-furnished
4340000,3500,4,1,2,yes,no,no,no,no,yes,no,furnished
4340000,6450,4,1,2,yes,no,no,no,no,no,no,semi-furnished
4319000,4032,2,1,1,yes,no,yes,no,no,no,no,furnished
4305000,4400,2,1,1,yes,no,no,no,no,yes,no,semi-furnished
4305000,10360,2,1,1,yes,no,no,no,no,yes,yes,semi-furnished
4277000,3400,3,1,2,yes,no,yes,no,no,yes,yes,semi-furnished
4270000,6360,2,1,1,yes,no,no,no,no,no,no,furnished
4270000,6360,2,1,2,yes,no,no,no,no,no,no,unfurnished
4270000,4500,2,1,1,yes,no,no,no,yes,yes,no,furnished
4270000,2175,3,1,2,no,yes,yes,no,yes,no,no,unfurnished
4270000,4360,4,1,2,yes,no,no,no,no,no,no,furnished
4270000,7770,2,1,1,yes,no,no,no,no,yes,no,furnished
4235000,6650,3,1,2,yes,yes,no,no,no,no,no,semi-furnished
4235000,2787,3,1,1,yes,no,yes,no,no,no,yes,furnished
4200000,5500,3,1,2,yes,no,no,no,yes,no,no,unfurnished
4200000,5040,3,1,2,yes,no,yes,no,yes,no,no,unfurnished
4200000,5850,2,1,1,yes,yes,yes,no,no,yes,no,semi-furnished
4200000,2610,4,3,2,no,no,no,no,no,no,no,semi-furnished
4200000,2953,3,1,2,yes,no,yes,no,yes,no,no,unfurnished
4200000,2747,4,2,2,no,no,no,no,no,no,no,semi-furnished
4200000,4410,2,1,1,no,no,no,no,no,yes,no,unfurnished
4200000,4000,4,2,2,no,no,no,no,no,no,no,semi-furnished
4200000,2325,3,1,2,no,no,no,no,no,no,no,semi-furnished
4200000,4600,3,2,2,yes,no,no,no,yes,yes,no,semi-furnished
4200000,3640,3,2,2,yes,no,yes,no,no,no,no,unfurnished
4200000,5800,3,1,1,yes,no,no,yes,no,yes,no,semi-furnished
4200000,7000,3,1,1,yes,no,no,no,no,yes,no,furnished
4200000,4079,3,1,3,yes,no,no,no,no,no,no,semi-furnished
4200000,3520,3,1,2,yes,no,no,no,no,no,yes,semi-furnished
4200000,2145,3,1,3,yes,no,no,no,no,yes,yes,unfurnished
4200000,4500,3,1,1,yes,no,yes,no,no,no,no,furnished
4193000,8250,3,1,1,yes,no,yes,no,no,yes,no,semi-furnished
4193000,3450,3,1,2,yes,no,no,no,no,yes,no,semi-furnished
4165000,4840,3,1,2,yes,no,no,no,no,yes,no,semi-furnished
4165000,4080,3,1,2,yes,no,no,no,no,yes,no,semi-furnished
4165000,4046,3,1,2,yes,no,yes,no,no,yes,no,semi-furnished
4130000,4632,4,1,2,yes,no,no,no,yes,no,no,semi-furnished
4130000,5985,3,1,1,yes,no,yes,no,no,no,no,semi-furnished
4123000,6060,2,1,1,yes,no,yes,no,no,yes,no,semi-furnished
4098500,3600,3,1,1,yes,no,yes,no,yes,no,yes,furnished
4095000,3680,3,2,2,yes,no,no,no,no,no,no,semi-furnished
4095000,4040,2,1,2,yes,no,no,no,no,yes,no,semi-furnished
4095000,5600,2,1,1,yes,no,no,no,yes,no,no,semi-furnished
4060000,5900,4,2,2,no,no,yes,no,no,yes,no,unfurnished
4060000,4992,3,2,2,yes,no,no,no,no,yes,no,unfurnished
4060000,4340,3,1,1,yes,no,no,no,no,no,no,semi-furnished
4060000,3000,4,1,3,yes,no,yes,no,yes,yes,no,semi-furnished
4060000,4320,3,1,2,yes,no,no,no,no,yes,yes,furnished
4025000,3630,3,2,2,yes,no,no,yes,no,yes,no,semi-furnished
4025000,3460,3,2,1,yes,no,yes,no,yes,yes,no,furnished
4025000,5400,3,1,1,yes,no,no,no,no,yes,no,semi-furnished
4007500,4500,3,1,2,no,no,yes,no,yes,no,no,semi-furnished
4007500,3460,4,1,2,yes,no,no,no,yes,no,no,semi-furnished
3990000,4100,4,1,1,no,no,yes,no,no,no,no,unfurnished
3990000,6480,3,1,2,no,no,no,no,yes,yes,no,semi-furnished
3990000,4500,3,2,2,no,no,yes,no,yes,no,no,semi-furnished
3990000,3960,3,1,2,yes,no,no,no,no,no,no,furnished
3990000,4050,2,1,2,yes,yes,yes,no,no,no,yes,unfurnished
3920000,7260,3,2,1,yes,yes,yes,no,no,yes,no,furnished
3920000,5500,4,1,2,yes,yes,yes,no,no,no,no,semi-furnished
3920000,3000,3,1,2,yes,no,no,no,no,no,no,semi-furnished
3920000,3290,2,1,1,yes,no,no,yes,no,yes,no,furnished
3920000,3816,2,1,1,yes,no,yes,no,yes,yes,no,furnished
3920000,8080,3,1,1,yes,no,no,no,yes,yes,no,semi-furnished
3920000,2145,4,2,1,yes,no,yes,no,no,no,yes,unfurnished
3885000,3780,2,1,2,yes,yes,yes,no,no,no,no,semi-furnished
3885000,3180,4,2,2,yes,no,no,no,no,no,no,furnished
3850000,5300,4,2,2,yes,no,no,no,no,no,no,semi-furnished
3850000,3180,2,2,1,yes,no,yes,no,no,yes,no,semi-furnished
3850000,7152,3,1,2,yes,no,no,no,yes,no,no,furnished
3850000,4080,2,1,1,yes,no,no,no,no,no,no,semi-furnished
3850000,3850,2,1,1,yes,no,no,no,no,no,no,semi-furnished
3850000,2015,3,1,2,yes,no,yes,no,no,no,yes,semi-furnished
3850000,2176,2,1,2,yes,yes,no,no,no,no,yes,semi-furnished
3836000,3350,3,1,2,yes,no,no,no,no,no,no,unfurnished
3815000,3150,2,2,1,no,no,yes,no,no,no,no,semi-furnished
3780000,4820,3,1,2,yes,no,no,no,no,no,no,semi-furnished
3780000,3420,2,1,2,yes,no,no,yes,no,yes,no,semi-furnished
3780000,3600,2,1,1,yes,no,no,no,no,no,no,semi-furnished
3780000,5830,2,1,1,yes,no,no,no,no,yes,no,unfurnished
3780000,2856,3,1,3,yes,no,no,no,no,no,yes,furnished
3780000,8400,2,1,1,yes,no,no,no,no,yes,no,furnished
3773000,8250,3,1,1,yes,no,no,no,no,yes,no,furnished
3773000,2520,4,2,1,no,no,yes,no,yes,yes,no,furnished
3773000,6930,4,1,2,no,no,no,no,no,yes,no,furnished
3745000,3480,2,1,1,yes,no,no,no,no,no,yes,semi-furnished
3710000,3600,3,1,1,yes,no,no,no,no,yes,no,unfurnished
3710000,4040,2,1,1,yes,no,no,no,no,no,no,semi-furnished
3710000,6020,3,1,1,yes,no,no,no,no,no,no,semi-furnished
3710000,4050,2,1,1,yes,no,no,no,no,no,no,furnished
3710000,3584,2,1,1,yes,no,no,yes,no,no,no,semi-furnished
3703000,3120,3,1,2,no,no,yes,yes,no,no,no,semi-furnished
3703000,5450,2,1,1,yes,no,no,no,no,no,no,furnished
3675000,3630,2,1,1,yes,no,yes,no,no,no,no,furnished
3675000,3630,2,1,1,yes,no,no,no,yes,no,no,unfurnished
3675000,5640,2,1,1,no,no,no,no,no,no,no,semi-furnished
3675000,3600,2,1,1,yes,no,no,no,no,no,no,furnished
3640000,4280,2,1,1,yes,no,no,no,yes,yes,no,semi-furnished
3640000,3570,3,1,2,yes,no,yes,no,no,no,no,semi-furnished
3640000,3180,3,1,2,no,no,yes,no,no,no,no,semi-furnished
3640000,3000,2,1,2,yes,no,no,no,yes,no,no,furnished
3640000,3520,2,2,1,yes,no,yes,no,no,no,no,semi-furnished
3640000,5960,3,1,2,yes,yes,yes,no,no,no,no,unfurnished
3640000,4130,3,2,2,yes,no,no,no,no,yes,no,semi-furnished
3640000,2850,3,2,2,no,no,yes,no,no,no,yes,unfurnished
3640000,2275,3,1,3,yes,no,no,yes,yes,no,yes,semi-furnished
3633000,3520,3,1,1,yes,no,no,no,no,yes,yes,unfurnished
3605000,4500,2,1,1,yes,no,no,no,no,no,no,semi-furnished
3605000,4000,2,1,1,yes,no,no,no,no,no,yes,semi-furnished
3570000,3150,3,1,2,yes,no,yes,no,no,no,no,furnished
3570000,4500,4,2,2,yes,no,yes,no,no,yes,no,furnished
3570000,4500,2,1,1,no,no,no,no,no,no,no,furnished
3570000,3640,2,1,1,yes,no,no,no,no,no,no,unfurnished
3535000,3850,3,1,1,yes,no,no,no,no,yes,no,unfurnished
3500000,4240,3,1,2,yes,no,no,no,yes,no,no,semi-furnished
